C38C5	FO080819.1
Z37140.2	ZK899
FO081092.1	ZC317
FO080992.1	Y119C1B
F54E4	Z79639.3
C31H11	FO080743.1
C15F1	FO080553.1
AL008866.1	B0019
T28A8	Z92813.1
AL023845.1	Y51B9A
F37B1	Z80217.1
F07C6	Z69659.1
C35C5	Z78417.2
FO080506.1	H08M21
AL021470.1	Y17D7A
W04G3	Z68014.1
FO080155.2	ZK430
FO080245.1	Y45G12C
T20B3	Z81593.1
FO080477.1	W06E11
F57A5	Z73909.1
FO081653.1	T01G6
FO081658.1	Y67D8B
R05A10	Z82280.1
F21D9	Z81510.2
C54G6	FO080951.2
C17F3	FO080587.1
AL033513.2	Y70D2A
AL021570.1	T17B5
C35B1	FO080784.1
M04D8	Z32682.2
F36G9	Z81533.1
C01H6	Z71258.1
F53E4	Z81087.1
K08F4	Z68879.1
Z93396.1	ZC15
FO081695.1	T01B6
CE7X_3	FO080979.1
E03G2	Z68113.3
F54H12	FO080401.2
FO081199.1	W02D7
C06G3	FO080396.2
FO081480.1	W03B1
FO080425.1	K07D8
C38D9	Z81481.2
FO080598.1	H34C03
AL021173.2	VK10D6R
FO080454.1	T28H11
R04B5	Z70782.1
FO081294.1	Y74E4A
FO081748.1	ZC487
T27D12	Z70037.1
C56E6	FO080971.2
F28F8	Z81071.1
FO080420.1	Y50C1A
F56A11	FO080624.1
FO081028.1	K07B1
T16H12	Z30662.1
FO081598.1	K07C6
F45E4	FO080446.1
Z73912.1	ZK524
AL117205.2	Y116A8A
Y49E10	Z98866.1
Z93397.1	ZC482
F20D6	FO080994.1
FO081170.2	R153
F58D7	FO080329.1
AL033537.1	VF38E11R
H19N07	Z92835.1
D1046	Z68160.2
AL023825.2	Y16B4A
FO080137.1	Y37B11A
C36C9	FO080799.1
Z70783.1	ZK856
F17A9	FO081132.1
FO080751.1	ZK770
FO081328.1	T10B1
AL132847.2	Y48G10A
FO081830.2	Y110A2AM
W05B2	Z81138.1
FO080835.1	Y16E11A
B0412	FO080194.2
C27A12	FO080101.1
AL022288.1	ZK1025
C06G8	Z70306.1
Z82288.2	ZK896
M01A8	Z27081.2
F59H5	FO081339.1
T22H6	Z50797.2
F56F12	Z82273.2
C18E9	Z70034.2
C05D2	FO080356.1
R08A2	Z98853.2
FO080588.1	T23B3
FO080403.1	Y71H10B
FO081539.1	H09G03
C23F12	FO080628.1
F46E10	FO081394.1
FO081368.2	ZK616
FO080516.1	ZK377
R134	Z48007.1
FO080189.1	Y1B5A
AL110499.1	Y62F5A
H40L08	Z95310.1
FO081002.1	R02F2
DY3	Z96047.1
T21B4	Z81124.1
FO081756.1	Y38A8
C31H2	FO080741.2
F26D10	Z80223.1
F13H10	Z68748.2
C07F11	FO080418.1
W09H1	Z82081.1
F14E12	Z81060.1
W07G4	Z78018.1
AL132943.4	Y116F11B
F15G10	FO081156.1
F52F10	FO081163.1
C34D4	FO080770.1
FO081788.1	Y37E11AM
F22E12	Z71180.1
AL132872.1	Y116F11A
F10B5	Z48334.1
AL110484.3	Y38E10A
C36H8	Z69658.1
R06B9	Z83237.1
C41G11	FO080838.1
T11G6	Z69384.2
FO081573.1	ZC404
C08D8	FO080432.1
FO081031.1	Y54F10AL
B0344	FO080173.2
F13D11	FO081142.1
FO080087.1	Y46E12BL
FO081463.2	Y8A9A
F34D6	FO081204.1
FO081618.1	K10D2
R12H7	Z50755.1
FO081317.2	R151
C18H9	FO080625.1
FO080926.1	H42K12
C44H9	Z75529.1
FO081064.1	W04D12
FO081100.1	K06A9
C03G5	FO080313.1
C27D8	Z80214.1
T24B8	Z68338.1
FO081594.1	T25D1
F15E11	FO081154.1
F47G9	Z74035.1
T25B9	Z70311.1
FO081338.1	K02F6
FO081620.1	Y48G1BL
Z48544.2	ZK945
C13G3	Z74027.2
F38E11	Z68342.1
B0350	FO080179.1
C02C6	Z79596.1
C44F1	Z49067.1
F56F4	FO081494.1
C54E10	Z81487.1
C44C3	FO080856.1
T03F7	Z74041.1
F58G4	FO080485.1
BX284606.5	X
F36H5	FO080440.1
FO081443.1	Y40A1A
T06C12	Z81116.1
K06B4	Z83233.1
FO080960.1	K06A5
F26E4	Z81070.1
C49H3	FO080908.1
FO080626.2	T14B4
F46C3	Z66563.3
F39F10	FO080726.1
FO081214.2	T24C4
B0414	FO080197.1
Z48584.1	ZK1321
F58E6	Z70754.3
FO081590.1	ZK389
F55D1	FO080673.1
FO080503.1	M04F3
M79	Z50806.1
FO080851.1	Y53G8B
Z72518.1	ZC374
AL009170.1	H19J13
FO081530.1	Y17G9A
AL021473.2	Y20C6A
W07A12	Z68320.2
AL031624.1	H16D19
AL021175.1	Y6E2A
FO081274.1	Y34B4A
FO081410.1	ZC64
FO080147.1	T11F8
FO081575.1	Y45G5AR
F58G6	Z68217.1
W04A4	Z82068.1
F57B1	Z78064.1
FO080772.2	ZC477
C14A4	Z49909.1
F47C12	FO081403.1
Z82085.1	ZK218
FO081079.1	Y75D11A
FO080315.1	H03E18
F13E9	Z69383.3
F35G2	Z69637.1
FO081655.1	ZC8
Z75553.2	ZC443
FO081352.2	Y55F3C
F38A3	Z49938.1
F10F2	Z35598.2
F55C5	Z78198.1
AL110501.2	Y79H2A
D2021	FO080314.2
FO080305.1	SSSD1
F53H8	FO080855.1
C27B7	Z54236.1
FO080938.2	Y48G1A
FO081723.1	T10B5
AL031631.1	Y38H6B
F45E12	FO080734.1
F22A3	FO080548.1
T15G9	Z50015.1
AL110490.2	Y48B6A
F59A3	FO080462.1
F08F1	FO081089.1
FO081503.2	Y71D11A
AL023840.1	Y40D7A
B0457	Z54306.2
FO081754.1	T27C4
FO081583.2	K06A1
FO081448.2	R11B5
Z77136.1	ZC376
T19C9	Z92972.1
FO080871.1	H35B03
F26A3	Z78419.1
Y41E3	Z95559.2
F07H5	Z68314.2
FO080486.1	ZC513
D1014	FO080993.1
T08G11	Z80220.1
AL032655.1	Y6B3B
F01G10	Z81055.1
FO081401.2	T21E3
AL032647.2	Y57A10B
FO080651.1	Y45G12B
FO081077.1	T16A1
AL032636.1	Y40B1B
T03F6	Z81113.1
F48A11	FO081417.1
T28H10	Z75551.1
T14D7	Z81123.1
F17H10	Z69789.2
M88	Z34802.1
FO080422.1	T24A6
R02D5	Z78015.1
FO080549.1	K04E7
AL023821.1	Y102A5B
F45E1	FO080773.2
F23D12	Z71186.1
Y70C5A	Z99282.1
F26F2	Z81514.1
FO081366.1	R13D11
FO081563.2	H24K24
K07C10	Z47074.2
B0205	FO080112.1
C30C11	FO080722.2
C46A5	FO080769.1
FO081704.1	T05A8
H01G02	Z92847.1
T21B6	Z68011.2
FO081749.1	T26C12
FO080096.1	Y15D9A
C17B7	FO080335.1
F46F6	Z50028.1
C41D11	FO080509.1
M04D5	Z83118.1
FO080363.1	T17E9
FO080119.1	Y37E11B
T20G5	Z30423.2
FO081263.1	R09G11
AL023834.1	Y32B12A
FO080277.1	ZK688
FO080345.1	ZK813
Z68222.1	ZK1251
Z78201.1	ZK836
F55A3	FO080793.1
Z70269.1	ZK1086
C16A11	FO080260.1
F36H12	FO081309.1
F52D2	FO081442.1
F53B7	Z72510.1
F11C3	Z81499.1
C09G12	FO080481.1
FO081522.1	Y54F10BR
C26C6	Z72503.2
F46F11	FO081396.1
